Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
30894,0,0.155645898,59y,0,0.59650798,7330.0,12,0,3,0,0.0
59640,0,0.925853097,42y,0,0.51376,6249.0,6,0,2,0,4.0
83465,0,0.066454077,62y,1,0.346516469,8166.0,17,0,2,0,1.0
144373,0,0.044919662,49y,1,838.0,,9,0,1,0,3.0
98153,0,0.429877534,51y,2,10046.0,,11,0,3,0,1.0
70285,0,0.913408791,45y,0,0.181552831,3425.0,3,0,0,0,1.0
26266,0,0.046097738,39y,0,0.154193832,25000.0,13,0,1,0,0.0
125676,0,0.174775879,57y,1,0.8850383209999999,3000.0,10,0,1,0,2.0
37981,0,0.270988568,73y,0,0.5013815970000001,7237.0,9,0,2,0,0.0
70472,0,0.8703747909999999,44y,0,0.441682737,14000.0,9,0,2,0,3.0
71365,0,0.221556886,59y,0,0.00839832,5000.0,2,0,0,1,0.0
108420,0,0.65843528,54y,0,0.4037868779999999,9083.0,16,0,3,0,1.0
136864,0,0.274933597,41y,0,0.187703074,4000.0,5,0,0,0,0.0
74657,0,0.2148925539999999,30y,0,1.062849162,2147.0,6,0,1,0,0.0
67951,0,0.278620041,46y,0,0.416567484,4200.0,18,0,0,0,0.0
84731,0,0.233692029,38y,0,0.174179968,5700.0,5,0,0,0,4.0
14710,0,0.045434732,49y,0,4258.0,,13,0,4,0,0.0
61788,0,0.172425166,43y,0,0.602477722,4600.0,21,0,2,0,3.0
28789,0,0.00286209,78y,0,0.204290868,5266.0,8,0,1,0,0.0
14283,0,0.385206124,62y,0,0.7991767129999999,3400.0,12,0,1,0,0.0
123325,0,0.078116875,64y,0,5794.0,,13,0,3,0,0.0
149300,0,0.444275679,28y,1,0.188528047,2370.0,10,1,0,0,0.0
61787,0,0.005176762,79y,0,70.0,,9,0,0,0,0.0
17535,0,0.647920515,32y,0,0.3499588279999999,8500.0,13,0,1,0,0.0
8273,0,0.484548355,47y,0,1729.0,0.0,9,0,1,0,2.0
39059,1,0.5317664120000001,47y,0,0.645153774,4291.0,11,0,2,0,2.0
26744,0,0.008536377,60y,0,0.002380386,4200.0,4,0,0,0,1.0
46667,1,0.95802099,40y,0,0.424657534,1240.0,4,0,0,0,0.0
67980,0,0.898595178,43y,4,0.235513801,17136.0,11,0,3,0,2.0
72489,0,0.509999257,49y,1,0.844142528,3900.0,11,0,1,1,2.0
119940,1,0.8833752020000001,59y,2,0.98967894,28000.0,25,0,9,1,0.0
68157,0,0.020119498,44y,0,4.0,,1,0,0,0,
68262,0,0.2191225489999999,60y,0,0.310888108,9964.0,25,0,3,0,0.0
111183,0,0.650401589,40y,0,0.443738604,17000.0,12,0,5,0,4.0
40967,1,0.8555326520000001,33y,1,0.301674581,4000.0,10,0,0,0,3.0
108673,0,0.499905069,40y,0,0.326114525,10250.0,10,0,2,0,3.0
101926,0,0.023361642,59y,0,0.575825947,6204.0,9,0,2,0,1.0
56205,0,0.0,51y,1,0.110014181,18333.0,11,0,1,0,3.0
127157,0,0.032268971,70y,0,0.2341265239999999,8614.0,11,0,1,0,1.0
65511,0,0.021560944,61y,0,0.005267215,7783.0,7,0,0,0,0.0
40876,0,0.047125433,67y,0,0.26960831,10492.0,5,0,2,0,0.0
52968,0,0.0,57y,0,0.102140582,13500.0,11,0,1,0,0.0
88577,0,0.154499929,63y,0,0.40771526,4691.0,12,0,2,0,2.0
16797,0,0.011154243,46y,0,0.281932977,4117.0,3,0,1,0,0.0
33237,0,0.506877625,45y,0,2460.5,1.0,19,0,4,0,3.0
138165,0,0.050389389,48y,2,1.281566694,3650.0,20,0,4,0,0.0
40442,0,0.040138674,48y,0,1676.0,,17,0,2,0,0.0
136040,0,0.197679343,44y,0,0.373932012,5500.0,7,0,1,0,1.0
142233,0,0.054863517,52y,1,0.506412909,4833.0,8,0,1,0,2.0
1449,0,0.460114066,29y,0,558.0,,4,0,0,0,0.0
20226,1,0.3656126879999999,62y,0,0.260352213,2100.0,3,0,0,0,0.0
25238,0,0.036126891,49y,0,0.005881661,8500.0,3,0,0,0,2.0
120275,0,0.045838166,49y,0,34.0,,1,0,0,0,
79095,0,0.612803254,49y,2,0.121445299,5977.0,3,0,0,0,3.0
46329,0,1.087481558,56y,0,0.396402398,1500.0,5,0,0,0,0.0
83120,0,0.013906979,71y,0,0.165720498,8278.0,9,0,1,0,0.0
11039,1,1.0335481,58y,0,0.4751107639999999,7673.0,10,1,2,0,0.0
36048,0,0.604080175,52y,0,0.64376871,6346.0,13,1,2,0,0.0
19860,0,0.0021481079999999,63y,0,0.280378748,1900.0,10,1,0,0,0.0
79036,0,0.0140658739999999,62y,0,0.00499875,4000.0,6,0,0,0,1.0
30725,0,0.9999999,45y,0,160.0,,3,0,0,0,0.0
99836,0,0.950687975,42y,0,0.083783243,5000.0,7,0,0,0,1.0
108200,0,0.0,54y,0,0.342510652,3050.0,12,1,1,0,0.0
143413,0,0.0,65y,0,0.8594164459999999,4900.0,6,0,2,0,2.0
86755,0,0.955502225,72y,0,0.314553246,6300.0,6,0,1,0,1.0
135135,0,0.0,59y,1,0.422767015,5832.0,9,0,1,0,1.0
103691,0,0.481655199,37y,1,0.515853177,7600.0,8,0,2,0,2.0
18812,0,0.076262284,57y,0,0.564410169,3500.0,8,0,2,0,0.0
68002,0,0.10654232,60y,0,0.124751076,15566.0,12,0,2,0,0.0
68718,0,0.007253245,46y,0,5.421052632,417.0,6,0,1,0,0.0
138096,0,0.65849228,24y,0,0.014989293,1400.0,1,1,0,1,1.0
89426,0,0.0378746629999999,76y,0,0.235742228,9713.0,12,0,1,0,1.0
17194,1,0.9999999,35y,1,0.123831022,3100.0,1,3,0,1,2.0
30101,0,0.001698584,66y,0,0.185029644,4047.0,6,0,1,0,0.0
93360,0,0.435213732,57y,0,0.037178265,4195.0,2,0,0,0,0.0
63399,0,0.953669755,47y,0,0.375070502,3545.0,4,0,1,1,0.0
29114,0,0.03267642,58y,0,2332.0,,5,0,3,0,0.0
117416,0,0.031142222,45y,0,628.0,,8,0,0,0,2.0
54241,0,0.93573876,34y,1,0.409537167,6416.0,10,0,1,0,0.0
10936,0,0.523699878,63y,3,1392.0,,10,1,0,0,0.0
126546,0,0.879762226,27y,1,0.282620766,1800.0,5,1,0,0,0.0
8376,0,0.0061178219999999,75y,1,637.0,,7,0,1,0,0.0
75565,0,0.254915028,25y,0,0.383385162,2250.0,3,0,0,0,0.0
98106,0,0.164341783,43y,0,0.241270349,25000.0,5,0,2,0,1.0
113298,0,0.049082515,71y,0,0.020403377,4263.0,6,0,0,0,0.0
149847,0,0.0,73y,0,0.175701653,2600.0,4,0,1,0,0.0
71421,0,0.092135545,30y,0,0.075731067,4000.0,5,0,0,0,0.0
89984,0,0.003628063,69y,2,7037.0,,13,0,3,1,0.0
66475,0,0.030336397,59y,0,1007.0,,9,0,1,0,0.0
92949,0,0.363479558,42y,0,870.0,,3,0,0,0,0.0
64967,0,0.194120392,32y,0,0.161044078,4060.0,4,0,1,0,0.0
141072,0,0.87790407,33y,0,0.362296487,5834.0,8,0,1,0,1.0
60671,0,0.087562869,52y,0,211.0,,12,0,0,0,0.0
52936,0,0.014035192,55y,0,0.0058922559999999,2375.0,3,0,0,0,0.0
61726,0,0.139582776,60y,0,0.258208622,8953.0,21,0,1,0,0.0
98665,0,0.066387267,55y,1,1720.0,,13,0,1,0,2.0
23378,0,0.991203519,29y,0,0.435786802,3939.0,7,0,1,0,0.0
111059,0,0.557771001,54y,0,0.676461028,15382.0,21,0,4,0,1.0
148561,0,0.028339741,61y,0,0.291854073,2000.0,9,0,1,0,0.0
43414,0,0.67232371,47y,0,0.795621974,4750.0,15,0,2,0,0.0
66886,0,0.000361748,50y,0,1357.0,,4,0,1,0,0.0
110309,0,0.098303911,40y,0,0.556088782,5000.0,10,0,1,0,0.0
